County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Buchanan County  MO,Missouri,No,25,-0.33,-1,0.02,Restaurants status: Indoor dining allowed with restrictions
Orange County  VA,Virginia,Yes,59,-0.44,-1,0.054,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Montezuma County  CO,Colorado,Yes,84,0,-1,0.031,Restaurants status: Dine-in allowed with restrictions
Van Wert County  OH,Ohio,Yes,78,0.38,-1,0.221,Restaurants status: Dine-in allowed with restrictions
Schoolcraft County  MI,Michigan,Yes,272,0.05,-1,0.016,Restaurants status: Dine-in allowed with restrictions
Greenup County  KY,Kentucky,Yes,63,-0.08,0,0.053,Restaurants status: Dine-in allowed without restrictions
Hampton County  SC,South Carolina,No,114,-0.08,0,0.057,Restaurants status: Indoor dining allowed with restrictions
Roane County  WV,West Virginia,Yes,161,0.22,-1,0.042,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Ford County  KS,Kansas,No,65,0.29,-1,0.064,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Pope County  AR,Arkansas,No,33,-0.32,-1,0.027,Restaurants status: Dine-in allowed with restrictions
Frio County  TX,Texas,No,103,0.91,-1,0.073,Restaurants status: Dine-in allowed without restrictions
Dawson County  GA,Georgia,No,80,-0.25,-1,0.059,Restaurants status: Dine-in allowed with restrictions
Chaves County  NM,New Mexico,Yes,33,-0.32,-0.5,0.012,Restaurants status: Dine-in allowed with restrictions
Milam County  TX,Texas,No,85,-0.05,-1,0.031,Restaurants status: Dine-in allowed without restrictions
Mississippi County  AR,Arkansas,No,52,0.31,-1,0.046,Restaurants status: Dine-in allowed with restrictions
Hardin County  TX,Texas,No,36,-0.72,-1,0.097,Restaurants status: Dine-in allowed without restrictions
Lavaca County  TX,Texas,No,104,-0.05,-1,0.097,Restaurants status: Dine-in allowed without restrictions
Shawano County  WI,Wisconsin,No,51,0.24,-1,0.017,Restaurants status: Dine-in allowed with restrictions
Payette County  ID,Idaho,No,88,0.4,2,0.047,Restaurants status: Dine-in allowed with restrictions
Gila County  AZ,Arizona,No,39,-0.52,2,0.032,Restaurants status: Dine-in allowed with restrictions
Kerr County  TX,Texas,No,40,-0.19,-1,0.004,Restaurants status: Dine-in allowed without restrictions
Trempealeau County  WI,Wisconsin,No,71,-0.38,-1,0.054,Restaurants status: Dine-in allowed with restrictions
Marion County  MO,Missouri,No,74,0.17,-1,0.048,Restaurants status: Indoor dining allowed with restrictions
Oktibbeha County  MS,Mississippi,No,42,0.31,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Washington County  ME,Maine,Yes,67,0.75,-1,0.01,Restaurants status: Indoor dining allowed with restrictions
Knox County  IN,Indiana,No,57,0.5,0,0.032,Restaurants status: Dine-in allowed with restrictions
Colbert County  AL,Alabama,No,38,-0.16,2,0.075,Restaurants status: Dine-in allowed with restrictions
St. Bernard Parish  LA,Louisiana,Yes,44,0.05,-1,0.021,Restaurants status: Dine-in allowed with restrictions
Mitchell County  NC,North Carolina,Yes,140,0.31,-1,0.068,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Cedar County  IA,Iowa,No,113,-0.25,-1,0.115,Restaurants status: Dine-in allowed with restrictions
Warren County  IL,Illinois,Yes,125,0.11,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Hardin County  OH,Ohio,Yes,67,-0.22,-1,0.154,Restaurants status: Dine-in allowed with restrictions
Fulton County  PA,Pennsylvania,Yes,145,0.05,-1,0.047,Restaurants status: Dine-in allowed without restrictions
Wadena County  MN,Minnesota,Yes,153,0.91,-1,0.066,Restaurants status: Dine-in allowed with restrictions
Carroll County  IN,Indiana,No,104,0.17,-1,0.075,Restaurants status: Dine-in allowed with restrictions
Hertford County  NC,North Carolina,Yes,89,2.5,-1,0.068,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Burnett County  WI,Wisconsin,No,136,1.62,-1,0.052,Restaurants status: Dine-in allowed with restrictions
Clarke County  VA,Virginia,Yes,144,0.62,-1,0.08,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Williamsburg County  SC,South Carolina,No,69,1.33,-1,0.04,Restaurants status: Indoor dining allowed with restrictions
Hale County  AL,Alabama,No,143,1.33,1,0.047,Restaurants status: Dine-in allowed with restrictions
Adams County  NE,Nebraska,No,64,-0.49,-1,0.16,Restaurants status: Dine-in allowed without restrictions
Menard County  IL,Illinois,Yes,164,-0.31,0,0.052,Restaurants status: Dine-in allowed with restrictions
Crittenden County  KY,Kentucky,Yes,227,1.22,-1,0.051,Restaurants status: Dine-in allowed without restrictions
Pike County  GA,Georgia,No,105,-0.23,-1,0.056,Restaurants status: Dine-in allowed with restrictions
Pulaski County  VA,Virginia,Yes,59,-0.41,-1,0.111,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Galax city  VA,Virginia,Yes,315,-0.46,-1,0.333,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lincoln County  KY,Kentucky,Yes,81,-0.26,-1,0.024,Restaurants status: Dine-in allowed without restrictions
Hocking County  OH,Ohio,Yes,71,-0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Cooke County  TX,Texas,No,48,-0.09,0,0.049,Restaurants status: Dine-in allowed without restrictions
Sunflower County  MS,Mississippi,No,80,0.43,-1,0.077,Restaurants status: Dine-in allowed with restrictions
Morgan County  KY,Kentucky,Yes,150,-0.13,-1,0.066,Restaurants status: Dine-in allowed without restrictions
Grainger County  TN,Tennessee,No,86,0,-1,0.097,Restaurants status: Dine-in allowed with restrictions
Crawford County  AR,Arkansas,No,32,-0.31,-1,0.014,Restaurants status: Dine-in allowed with restrictions
Clinton County  KY,Kentucky,Yes,196,-0.23,-1,0.047,Restaurants status: Dine-in allowed without restrictions
Wayne County  WV,West Virginia,Yes,51,-0.59,-0.5,0.036,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Silver Bow County  MT,Montana,No,57,-0.64,-1,0.023,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Union County  OR,Oregon,Yes,75,-0.05,-0.5,0.011,Restaurants status: Dine-in allowed with restrictions
McDowell County  NC,North Carolina,Yes,44,-0.17,-1,0.021,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Martin County  NC,North Carolina,Yes,89,0.33,-1,0.026,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Manatí Municipio  PR,Puerto Rico,Yes,54,-0.26,nan,0.364,
Page County  IA,Iowa,No,132,0.18,-1,0.087,Restaurants status: Dine-in allowed with restrictions
Person County  NC,North Carolina,Yes,51,-0.5,-1,0.027,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Madison County  MO,Missouri,No,165,19,-1,0.145,Restaurants status: Indoor dining allowed with restrictions
Coffee County  GA,Georgia,No,46,0.54,0.5,0.069,Restaurants status: Dine-in allowed with restrictions
Jasper County  IA,Iowa,No,54,-0.5,-1,0.036,Restaurants status: Dine-in allowed with restrictions
Logan County  CO,Colorado,Yes,89,-0.51,-1,0.022,Restaurants status: Dine-in allowed with restrictions
Calaveras County  CA,California,Yes,44,-0.09,-1,nan,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Ochiltree County  TX,Texas,No,203,3,-1,0,Restaurants status: Dine-in allowed without restrictions
Sequatchie County  TN,Tennessee,No,133,1,-1,0.136,Restaurants status: Dine-in allowed with restrictions
Calloway County  KY,Kentucky,Yes,51,2.33,0,0.022,Restaurants status: Dine-in allowed without restrictions
Radford city  VA,Virginia,Yes,104,-0.34,-1,0.053,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Potter County  PA,Pennsylvania,Yes,115,1.38,-1,0.095,Restaurants status: Dine-in allowed without restrictions
Grant County  OR,Oregon,Yes,264,-0.14,-1,0.143,Restaurants status: Dine-in allowed with restrictions
Thomas County  GA,Georgia,No,43,-0.34,-0.5,0.038,Restaurants status: Dine-in allowed with restrictions
Humboldt County  CA,California,Yes,14,-0.6,-1,0.009,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Glenn County  CA,California,Yes,67,-0.1,-1,nan,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Door County  WI,Wisconsin,No,69,-0.39,-1,0.028,Restaurants status: Dine-in allowed with restrictions
Mendocino County  CA,California,Yes,22,0.19,-1,0.014,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Churchill County  NV,Nevada,Yes,76,1.11,-1,0.063,Restaurants status: Dine-in allowed without restrictions
Grundy County  TN,Tennessee,No,142,1.71,-1,0.053,Restaurants status: Dine-in allowed with restrictions
Yates County  NY,New York,Yes,76,0.58,-1,0.013,Restaurants status: Dine-in allowed with restrictions
Cochran County  TX,Texas,No,666,0,-1,0,Restaurants status: Dine-in allowed without restrictions
Reno County  KS,Kansas,No,31,0.46,-1,0.03,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Emmet County  IA,Iowa,No,206,-0.42,-1,0.061,Restaurants status: Dine-in allowed with restrictions
Lee County  IA,Iowa,No,56,0.58,-1,0.055,Restaurants status: Dine-in allowed with restrictions
Custer County  SD,South Dakota,No,212,3.75,-1,0.246,Restaurants status: Dine-in allowed with restrictions
Cannon County  TN,Tennessee,No,129,0.73,-1,0.037,Restaurants status: Dine-in allowed with restrictions
Logan County  OK,Oklahoma,No,40,0.46,-1,0.042,Restaurants status: Dine-in allowed without restrictions
Lowndes County  MS,Mississippi,No,32,0.27,-1,0.016,Restaurants status: Dine-in allowed with restrictions
Henry County  IN,Indiana,No,40,-0.49,0,0.036,Restaurants status: Dine-in allowed with restrictions
Meigs County  OH,Ohio,Yes,83,0.58,-1,0.056,Restaurants status: Dine-in allowed with restrictions
White County  IN,Indiana,No,79,0.58,-1,0.071,Restaurants status: Dine-in allowed with restrictions
Saline County  KS,Kansas,No,35,-0.24,-1,0.03,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Carroll County  IL,Illinois,Yes,133,-0.21,-1,0.054,Restaurants status: Dine-in allowed with restrictions
Vernon County  MO,Missouri,No,92,-0.32,-1,0.153,Restaurants status: Indoor dining allowed with restrictions
Highland County  OH,Ohio,Yes,44,-0.41,-1,0.042,Restaurants status: Dine-in allowed with restrictions
Gillespie County  TX,Texas,No,70,3.75,-1,0.012,Restaurants status: Dine-in allowed without restrictions
Jackson County  OH,Ohio,Yes,59,-0.55,-1,0,Restaurants status: Dine-in allowed with restrictions
Yalobusha County  MS,Mississippi,No,157,-0.17,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Saline County  AR,Arkansas,No,16,-0.57,-0.67,0.013,Restaurants status: Dine-in allowed with restrictions
Gallia County  OH,Ohio,Yes,60,-0.31,-1,0.071,Restaurants status: Dine-in allowed with restrictions
Walsh County  ND,North Dakota,No,169,0.29,-1,0.068,Restaurants status: Dine-in allowed with restrictions
Franklin city  VA,Virginia,Yes,226,0.29,-1,0.095,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Armstrong County  TX,Texas,No,954,17,-1,0,Restaurants status: Dine-in allowed without restrictions
Brown County  OH,Ohio,Yes,41,0.29,-1,0,Restaurants status: Dine-in allowed with restrictions
Mercer County  OH,Ohio,Yes,44,0.2,-1,0.114,Restaurants status: Dine-in allowed with restrictions
Dawson County  NE,Nebraska,No,76,0.38,-1,0.046,Restaurants status: Dine-in allowed without restrictions
Mahaska County  IA,Iowa,No,81,0.8,-1,0.063,Restaurants status: Dine-in allowed with restrictions
Northampton County  VA,Virginia,Yes,154,-0.14,-1,0.102,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Lyon County  IA,Iowa,No,153,0.2,-1,0.151,Restaurants status: Dine-in allowed with restrictions
Collingsworth County  TX,Texas,No,616,0.12,-1,0,Restaurants status: Dine-in allowed without restrictions
Marion County  IA,Iowa,No,54,0.2,-1,0.041,Restaurants status: Dine-in allowed with restrictions
Plaquemines Parish  LA,Louisiana,Yes,78,-0.14,-1,0.031,Restaurants status: Dine-in allowed with restrictions
Staunton city  VA,Virginia,Yes,72,-0.14,-1,0.035,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Morehouse Parish  LA,Louisiana,Yes,72,1.25,-1,0.067,Restaurants status: Dine-in allowed with restrictions
Guayanilla Municipio  PR,Puerto Rico,Yes,102,1.57,nan,0.097,
Cidra Municipio  PR,Puerto Rico,Yes,47,-0.44,nan,0.354,
Scotts Bluff County  NE,Nebraska,No,51,0.2,-1,0.05,Restaurants status: Dine-in allowed without restrictions
Adair County  KY,Kentucky,Yes,94,-0.82,-1,0.04,Restaurants status: Dine-in allowed without restrictions
Humboldt County  NV,Nevada,Yes,107,0.29,-1,0.046,Restaurants status: Dine-in allowed without restrictions
Rio Arriba County  NM,New Mexico,Yes,46,-0.14,-1,0.052,Restaurants status: Dine-in allowed with restrictions
Wayne County  GA,Georgia,No,60,-0.49,-0.5,0.067,Restaurants status: Dine-in allowed with restrictions
Wilkin County  MN,Minnesota,Yes,290,0.2,-1,0.046,Restaurants status: Dine-in allowed with restrictions
Baldwin County  GA,Georgia,No,40,-0.49,-0.67,0.045,Restaurants status: Dine-in allowed with restrictions
Hardeman County  TN,Tennessee,No,72,1.57,-1,0.03,Restaurants status: Dine-in allowed with restrictions
Toombs County  GA,Georgia,No,67,0.5,-1,0.116,Restaurants status: Dine-in allowed with restrictions
Lewis County  TN,Tennessee,No,147,0.06,-1,0.2,Restaurants status: Dine-in allowed with restrictions
Hardy County  WV,West Virginia,Yes,131,-0.28,-1,0.041,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Forrest County  MS,Mississippi,No,24,-0.45,-0.5,0.009,Restaurants status: Dine-in allowed with restrictions
Waynesboro city  VA,Virginia,Yes,75,-0.39,-1,0.059,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Davison County  SD,South Dakota,No,86,-0.73,-1,0.106,Restaurants status: Dine-in allowed with restrictions
Greene County  NC,North Carolina,Yes,81,0.55,-1,0.016,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
McDonald County  MO,Missouri,No,74,0.06,-1,0.018,Restaurants status: Indoor dining allowed with restrictions
Bee County  TX,Texas,No,52,0,0,0.024,Restaurants status: Dine-in allowed without restrictions
Meriwether County  GA,Georgia,No,80,0.21,-0.8,0.063,Restaurants status: Dine-in allowed with restrictions
Lee County  GA,Georgia,No,57,0.42,-1,0.07,Restaurants status: Dine-in allowed with restrictions
Dare County  NC,North Carolina,Yes,46,-0.55,-1,0.049,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Marshall County  IA,Iowa,No,43,-0.11,-1,0.039,Restaurants status: Dine-in allowed with restrictions
Hutchinson County  SD,South Dakota,No,233,-0.5,-1,0.206,Restaurants status: Dine-in allowed with restrictions
Wabasha County  MN,Minnesota,Yes,79,-0.32,-1,0.024,Restaurants status: Dine-in allowed with restrictions
Jones County  IA,Iowa,No,82,0.42,-1,0.064,Restaurants status: Dine-in allowed with restrictions
Wood County  TX,Texas,No,37,0.21,0,0.044,Restaurants status: Dine-in allowed without restrictions
Lajas Municipio  PR,Puerto Rico,Yes,77,0.7,nan,0.171,
Marquette County  WI,Wisconsin,No,109,2.4,-1,0.052,Restaurants status: Dine-in allowed with restrictions
Caswell County  NC,North Carolina,Yes,75,-0.19,-1,0.06,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
White County  TN,Tennessee,No,62,-0.19,-1,0.101,Restaurants status: Dine-in allowed with restrictions
Cameron Parish  LA,Louisiana,Yes,244,4.67,-1,0,Restaurants status: Dine-in allowed with restrictions
Bienville Parish  LA,Louisiana,Yes,128,1.83,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Monroe County  WI,Wisconsin,No,37,0.06,1,0.034,Restaurants status: Dine-in allowed with restrictions
Ford County  IL,Illinois,Yes,131,0.89,-1,0.017,Restaurants status: Dine-in allowed with restrictions
De Witt County  IL,Illinois,Yes,109,-0.15,-1,0.053,Restaurants status: Dine-in allowed with restrictions
Upshur County  WV,West Virginia,Yes,70,-0.26,-1,0.033,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Bracken County  KY,Kentucky,Yes,205,3.25,-1,0.044,Restaurants status: Dine-in allowed without restrictions
Broadwater County  MT,Montana,No,273,0.7,-1,0.088,"Restaurants status: Dine-in allowed without restrictions, but some cities may enact their own restrictions."
Curry County  OR,Oregon,Yes,74,0,-1,0.035,Restaurants status: Dine-in allowed with restrictions
Clarendon County  SC,South Carolina,No,50,-0.69,1,0.045,Restaurants status: Indoor dining allowed with restrictions
Tate County  MS,Mississippi,No,60,-0.26,-1,0.137,Restaurants status: Dine-in allowed with restrictions
Lawrence County  SD,South Dakota,No,66,0.7,-1,0.103,Restaurants status: Dine-in allowed with restrictions
Northampton County  NC,North Carolina,Yes,87,-0.37,-1,0.027,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Montgomery County  IL,Illinois,Yes,60,-0.15,-1,0.007,Restaurants status: Dine-in allowed with restrictions
Henry County  TN,Tennessee,No,53,0.13,-1,0.061,Restaurants status: Dine-in allowed with restrictions
Crockett County  TN,Tennessee,No,119,3.25,-1,0,Restaurants status: Dine-in allowed with restrictions
Lee County  VA,Virginia,Yes,73,0.55,0,0.093,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Neshoba County  MS,Mississippi,No,58,0.21,-0.5,0,Restaurants status: Dine-in allowed with restrictions
Randolph County  IN,Indiana,No,69,0.13,-1,0.06,Restaurants status: Dine-in allowed with restrictions
Essex County  VA,Virginia,Yes,155,0.21,-1,0.078,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
LaGrange County  IN,Indiana,No,43,0.55,-1,0.113,Restaurants status: Dine-in allowed with restrictions
Alamosa County  CO,Colorado,Yes,105,0.21,-1,0.011,Restaurants status: Dine-in allowed with restrictions
Island County  WA,Washington,Yes,20,-0.11,-1,0.009,Restaurants status: Dine-in allowed with restrictions
Shelby County  OH,Ohio,Yes,35,-0.35,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Waldo County  ME,Maine,Yes,43,-0.48,-1,0.036,Restaurants status: Indoor dining allowed with restrictions
Buena Vista County  IA,Iowa,No,87,0.42,0,0.081,Restaurants status: Dine-in allowed with restrictions
Barbour County  AL,Alabama,No,69,0.89,-1,0.079,Restaurants status: Dine-in allowed with restrictions
Bibb County  AL,Alabama,No,76,1.12,-1,0.021,Restaurants status: Dine-in allowed with restrictions
Union Parish  LA,Louisiana,Yes,77,0.89,-1,0.037,Restaurants status: Dine-in allowed with restrictions
St. James Parish  LA,Louisiana,Yes,81,0.7,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Caddo County  OK,Oklahoma,No,59,0.21,-1,0.008,Restaurants status: Dine-in allowed without restrictions
San Germán Municipio  PR,Puerto Rico,Yes,56,1.12,nan,0.543,
Beckham County  OK,Oklahoma,No,78,2.4,6,0.068,Restaurants status: Dine-in allowed without restrictions
Grant County  KY,Kentucky,Yes,64,-0.27,-1,0.028,Restaurants status: Dine-in allowed without restrictions
Greensville County  VA,Virginia,Yes,141,-0.24,-1,0.02,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Fremont County  WY,Wyoming,No,41,-0.63,-1,0.018,Restaurants status: Dine-in allowed with restrictions
Jasper County  TX,Texas,No,45,0,-0.75,0.038,Restaurants status: Dine-in allowed without restrictions
Jackson County  TX,Texas,No,108,-0.06,-1,0.062,Restaurants status: Dine-in allowed without restrictions
Jasper County  SC,South Carolina,No,53,-0.06,-1,0.033,Restaurants status: Indoor dining allowed with restrictions
Butler County  AL,Alabama,No,82,-0.24,-1,0.104,Restaurants status: Dine-in allowed with restrictions
Breckinridge County  KY,Kentucky,Yes,78,0.78,-1,0.03,Restaurants status: Dine-in allowed without restrictions
Clay County  KY,Kentucky,Yes,80,-0.11,0,0.066,Restaurants status: Dine-in allowed without restrictions
Mayes County  OK,Oklahoma,No,39,-0.33,7,0.042,Restaurants status: Dine-in allowed without restrictions
Muskogee County  OK,Oklahoma,No,24,-0.33,48,0.013,Restaurants status: Dine-in allowed without restrictions
Webster County  MO,Missouri,No,40,0.33,-1,0.043,Restaurants status: Indoor dining allowed with restrictions
Dade County  GA,Georgia,No,99,0.33,-1,0,Restaurants status: Dine-in allowed with restrictions
Pontotoc County  OK,Oklahoma,No,42,-0.11,21,0.027,Restaurants status: Dine-in allowed without restrictions
Stephens County  OK,Oklahoma,No,37,-0.24,25,0.018,Restaurants status: Dine-in allowed without restrictions
Alcorn County  MS,Mississippi,No,43,0.6,-1,0.065,Restaurants status: Dine-in allowed with restrictions
Monroe County  OH,Ohio,Yes,117,-0.36,-1,0,Restaurants status: Dine-in allowed with restrictions
Polk County  MO,Missouri,No,50,-0.65,-1,0.007,Restaurants status: Indoor dining allowed with restrictions
Ashe County  NC,North Carolina,Yes,59,-0.43,-1,0.038,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Des Moines County  IA,Iowa,No,41,-0.06,-1,0.04,Restaurants status: Dine-in allowed with restrictions
Meade County  SD,South Dakota,No,56,0.23,-1,0.05,Restaurants status: Dine-in allowed with restrictions
Pasquotank County  NC,North Carolina,Yes,40,-0.36,0,0.022,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Jackson County  AL,Alabama,No,31,-0.27,1,0.06,Restaurants status: Dine-in allowed with restrictions
Palo Alto County  IA,Iowa,No,180,-0.3,-1,0.106,Restaurants status: Dine-in allowed with restrictions
Page County  VA,Virginia,Yes,67,-0.06,-1,0.035,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Buchanan County  VA,Virginia,Yes,76,15,-1,0.25,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Winneshiek County  IA,Iowa,No,80,-0.11,0,0.035,Restaurants status: Dine-in allowed with restrictions
Wabash County  IN,Indiana,No,52,-0.43,-1,0.061,Restaurants status: Dine-in allowed with restrictions
Worth County  IA,Iowa,No,217,15,-1,0.066,Restaurants status: Dine-in allowed with restrictions
Beadle County  SD,South Dakota,No,87,-0.11,-1,0.15,Restaurants status: Dine-in allowed with restrictions
Tipton County  IN,Indiana,No,106,-0.24,-1,0.03,Restaurants status: Dine-in allowed with restrictions
Loíza Municipio  PR,Puerto Rico,Yes,65,-0.6,nan,0.267,
Starke County  IN,Indiana,No,70,-0.47,-1,0.064,Restaurants status: Dine-in allowed with restrictions
Saluda County  SC,South Carolina,No,78,0.33,-1,0.033,Restaurants status: Indoor dining allowed with restrictions
Uvalde County  TX,Texas,No,60,-0.33,-1,0.149,Restaurants status: Dine-in allowed without restrictions
Scott County  IN,Indiana,No,67,0.33,-1,0.031,Restaurants status: Dine-in allowed with restrictions
Warren County  NC,North Carolina,Yes,81,-0.27,-1,0.059,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
Lewis County  WV,West Virginia,Yes,101,-0.16,-1,0.026,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Park County  CO,Colorado,Yes,85,0.33,-1,0.072,Restaurants status: Dine-in allowed with restrictions
Smith County  TN,Tennessee,No,79,-0.5,-1,0.066,Restaurants status: Dine-in allowed with restrictions
Evangeline Parish  LA,Louisiana,Yes,48,-0.43,0,0.02,Restaurants status: Dine-in allowed with restrictions
Aransas County  TX,Texas,No,68,-0.16,-1,0.096,Restaurants status: Dine-in allowed without restrictions
St. John the Baptist Parish  LA,Louisiana,Yes,37,0.33,-1,0.008,Restaurants status: Dine-in allowed with restrictions
Jefferson County  OR,Oregon,Yes,65,1,-1,0.024,Restaurants status: Dine-in allowed with restrictions
Lumpkin County  GA,Georgia,No,48,0.14,-1,0.025,Restaurants status: Dine-in allowed with restrictions
Falls Church city  VA,Virginia,Yes,109,1.67,-1,0.035,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
East Feliciana Parish  LA,Louisiana,Yes,84,1,-1,0.006,Restaurants status: Dine-in allowed with restrictions
Tift County  GA,Georgia,No,39,-0.3,-1,0.045,Restaurants status: Dine-in allowed with restrictions
Washington Parish  LA,Louisiana,Yes,35,-0.53,0,0.043,Restaurants status: Dine-in allowed with restrictions
Calhoun County  WV,West Virginia,Yes,211,4,nan,0.058,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Crook County  OR,Oregon,Yes,61,0.07,-1,0.012,Restaurants status: Dine-in allowed with restrictions
Copiah County  MS,Mississippi,No,53,-0.59,0,0.09,Restaurants status: Dine-in allowed with restrictions
Love County  OK,Oklahoma,No,146,1.14,-1,0.04,Restaurants status: Dine-in allowed without restrictions
Pettis County  MO,Missouri,No,35,1.5,-1,0.032,Restaurants status: Indoor dining allowed with restrictions
Cass County  TX,Texas,No,50,-0.17,-1,0.043,Restaurants status: Dine-in allowed without restrictions
Kay County  OK,Oklahoma,No,34,-0.57,38,0,Restaurants status: Dine-in allowed without restrictions
Rincón Municipio  PR,Puerto Rico,Yes,110,0.5,nan,0.094,
Marlboro County  SC,South Carolina,No,57,-0.06,-1,0.041,Restaurants status: Indoor dining allowed with restrictions
Watonwan County  MN,Minnesota,Yes,138,0,-1,0.045,Restaurants status: Dine-in allowed with restrictions
Jefferson County  KS,Kansas,No,79,-0.06,-1,0.07,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Buchanan County  IA,Iowa,No,71,-0.21,-1,0.07,Restaurants status: Dine-in allowed with restrictions
Hot Spring County  AR,Arkansas,No,44,-0.53,0,0.047,Restaurants status: Dine-in allowed with restrictions
McKinley County  NM,New Mexico,Yes,21,-0.06,2,0,Restaurants status: Dine-in allowed with restrictions
Newton County  MS,Mississippi,No,71,-0.29,-0.5,0,Restaurants status: Dine-in allowed with restrictions
West Feliciana Parish  LA,Louisiana,Yes,96,1.14,-1,0.043,Restaurants status: Dine-in allowed with restrictions
Ray County  MO,Missouri,No,65,0.5,-1,0.023,Restaurants status: Indoor dining allowed with restrictions
Edgar County  IL,Illinois,Yes,87,2,-1,0.036,Restaurants status: Dine-in allowed with restrictions
Newton County  IN,Indiana,No,107,0.25,-1,0.055,Restaurants status: Dine-in allowed with restrictions
Santa Isabel Municipio  PR,Puerto Rico,Yes,71,1.14,nan,0.287,
Lincoln County  MS,Mississippi,No,44,-0.42,-1,0,Restaurants status: Dine-in allowed with restrictions
Luna County  NM,New Mexico,Yes,63,-0.35,-1,0.012,Restaurants status: Dine-in allowed with restrictions
Lincoln County  OK,Oklahoma,No,43,-0.35,-1,0.041,Restaurants status: Dine-in allowed without restrictions
Roberts County  SD,South Dakota,No,144,-0.06,-1,0.069,Restaurants status: Dine-in allowed with restrictions
Otoe County  NE,Nebraska,No,94,-0.21,-1,0.117,Restaurants status: Dine-in allowed without restrictions
Laurens County  GA,Georgia,No,32,-0.12,0,0.05,Restaurants status: Dine-in allowed with restrictions
Garvin County  OK,Oklahoma,No,54,-0.17,19,0.009,Restaurants status: Dine-in allowed without restrictions
Clatsop County  OR,Oregon,Yes,37,-0.25,-1,0.042,Restaurants status: Dine-in allowed with restrictions
Hancock County  IA,Iowa,No,141,0.88,-1,0.061,Restaurants status: Dine-in allowed with restrictions
Marshall County  KY,Kentucky,Yes,48,-0.66,-1,0.018,Restaurants status: Dine-in allowed without restrictions
Madison County  GA,Georgia,No,50,0,-1,0.051,Restaurants status: Dine-in allowed with restrictions
Dubois County  IN,Indiana,No,35,-0.32,-1,0.016,Restaurants status: Dine-in allowed with restrictions
Webster County  IA,Iowa,No,42,-0.17,0,0.014,Restaurants status: Dine-in allowed with restrictions
Amite County  MS,Mississippi,No,122,1.5,-0.5,0,Restaurants status: Dine-in allowed with restrictions
Añasco Municipio  PR,Puerto Rico,Yes,57,0.67,nan,0.186,
