County,State,Mask Mandate,Case per 100k,Case Change,Death Change,Positivity Rate
Ingham County  MI,Michigan,Yes,390,-0.07,0.8,0.15,Restaurants status: Dine-in allowed with restrictions
San Bernardino County  CA,California,Yes,52,0.31,-0.59,0.02,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Volusia County  FL,Florida,No,203,-0.01,0.36,0.061,Restaurants status: Dine-in allowed with restrictions
Fairfax County  VA,Virginia,Yes,98,-0.09,0.5,0.06,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Northampton County  PA,Pennsylvania,Yes,363,0.05,0,0.097,Restaurants status: Dine-in allowed without restrictions
St. Louis County  MO,Missouri,No,111,0.11,-0.81,0.065,Restaurants status: Indoor dining allowed with restrictions
Arapahoe County  CO,Colorado,Yes,166,0.21,0,0.052,Restaurants status: Dine-in allowed with restrictions
Fulton County  GA,Georgia,No,100,-0.01,0.17,0.039,Restaurants status: Dine-in allowed with restrictions
York County  PA,Pennsylvania,Yes,233,-0.07,1,0.116,Restaurants status: Dine-in allowed without restrictions
Norfolk County  MA,Massachusetts,Yes,147,-0.15,0.2,0.023,Restaurants status: Dine-in allowed with restrictions
Lehigh County  PA,Pennsylvania,Yes,279,-0.02,0.67,0.107,Restaurants status: Dine-in allowed without restrictions
Orange County  CA,California,Yes,32,0.03,-0.39,0.019,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Milwaukee County  WI,Wisconsin,No,108,0.14,-0.29,0.057,Restaurants status: Dine-in allowed with restrictions
Marion County  IN,Indiana,No,106,0.3,-0.17,0.048,Restaurants status: Dine-in allowed with restrictions
Plymouth County  MA,Massachusetts,Yes,192,-0.12,-0.33,0.042,Restaurants status: Dine-in allowed with restrictions
Jefferson County  CO,Colorado,Yes,165,0.33,-1,0.05,Restaurants status: Dine-in allowed with restrictions
Chester County  PA,Pennsylvania,Yes,182,-0.14,-0.8,0.088,Restaurants status: Dine-in allowed without restrictions
Kane County  IL,Illinois,Yes,177,0.42,-1,0.092,Restaurants status: Dine-in allowed with restrictions
Salt Lake County  UT,Utah,Yes,81,-0.12,-0.33,0.035,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Peoria County  IL,Illinois,Yes,521,0.13,-1,0.138,Restaurants status: Dine-in allowed with restrictions
Adams County  CO,Colorado,Yes,179,0.36,0,0.066,Restaurants status: Dine-in allowed with restrictions
Jackson County  MI,Michigan,Yes,584,0.15,2.5,0.088,Restaurants status: Dine-in allowed with restrictions
Rockland County  NY,New York,Yes,284,-0.2,-0.22,0.073,Restaurants status: Dine-in allowed with restrictions
Ramsey County  MN,Minnesota,Yes,167,0.42,-0.33,0.056,Restaurants status: Dine-in allowed with restrictions
Lake County  IL,Illinois,Yes,132,0.28,0.2,0.037,Restaurants status: Dine-in allowed with restrictions
Livingston County  MI,Michigan,Yes,477,0.2,0.5,0.151,Restaurants status: Dine-in allowed with restrictions
Pasco County  FL,Florida,No,165,0.17,-0.45,0.083,Restaurants status: Dine-in allowed with restrictions
Hillsborough County  NH,New Hampshire,Yes,218,0.01,-0.6,0.062,Restaurants status: Dine-in allowed without restrictions
Cobb County  GA,Georgia,No,119,-0.04,-0.47,0.054,Restaurants status: Dine-in allowed with restrictions
Duval County  FL,Florida,No,94,0.13,-0.37,0.041,Restaurants status: Dine-in allowed with restrictions
Osceola County  FL,Florida,No,240,0.3,-0.88,0.074,Restaurants status: Dine-in allowed with restrictions
Santa Clara County  CA,California,Yes,46,0.18,2.75,0.01,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Douglas County  CO,Colorado,Yes,250,0.42,-0.33,0.075,Restaurants status: Dine-in allowed with restrictions
Westmoreland County  PA,Pennsylvania,Yes,249,0.13,0.2,0.097,Restaurants status: Dine-in allowed without restrictions
Somerset County  NJ,New Jersey,Yes,257,-0.23,-0.25,0.078,Restaurants status: Dine-in allowed with restrictions
Atlantic County  NJ,New Jersey,Yes,319,-0.03,-0.43,0.126,Restaurants status: Dine-in allowed with restrictions
District of Columbia  DC,District of Columbia,Yes,119,-0.15,-0.15,0.029,
Anne Arundel County  MD,Maryland,Yes,145,-0.04,-0.29,0.071,Restaurants status: Dine-in allowed with restrictions
Fort Bend County  TX,Texas,No,102,0.09,-0.38,0.078,Restaurants status: Dine-in allowed without restrictions
Summit County  OH,Ohio,Yes,153,-0.11,-1,0.208,Restaurants status: Dine-in allowed with restrictions
Davidson County  TN,Tennessee,No,116,-0.09,0.07,0.037,Restaurants status: Dine-in allowed with restrictions
Dutchess County  NY,New York,Yes,273,-0.15,0,0.081,Restaurants status: Dine-in allowed with restrictions
Brevard County  FL,Florida,No,132,0.18,0,0.06,Restaurants status: Dine-in allowed with restrictions
Monroe County  MI,Michigan,Yes,528,0.14,1,0.171,Restaurants status: Dine-in allowed with restrictions
Montgomery County  MD,Maryland,Yes,74,-0.07,-0.23,0.044,Restaurants status: Dine-in allowed with restrictions
Gwinnett County  GA,Georgia,No,83,-0.12,-0.59,0.045,Restaurants status: Dine-in allowed with restrictions
Sarasota County  FL,Florida,No,177,0.15,-0.27,0.07,Restaurants status: Dine-in allowed with restrictions
DeKalb County  GA,Georgia,No,101,-0.16,-0.46,0.046,Restaurants status: Dine-in allowed with restrictions
Seminole County  FL,Florida,No,161,-0.01,-0.2,0.082,Restaurants status: Dine-in allowed with restrictions
Hidalgo County  TX,Texas,No,87,-0.12,0.18,0.077,Restaurants status: Dine-in allowed without restrictions
Lucas County  OH,Ohio,Yes,176,-0.13,-1,0.105,Restaurants status: Dine-in allowed with restrictions
Larimer County  CO,Colorado,Yes,210,0.11,0,0.068,Restaurants status: Dine-in allowed with restrictions
Gloucester County  NJ,New Jersey,Yes,255,-0.05,0.75,0.104,Restaurants status: Dine-in allowed with restrictions
Manatee County  FL,Florida,No,184,0.1,-0.33,0.069,Restaurants status: Dine-in allowed with restrictions
Rockingham County  NH,New Hampshire,Yes,240,0.08,-0.25,0.062,Restaurants status: Dine-in allowed without restrictions
Saginaw County  MI,Michigan,Yes,388,0.36,2.5,0.13,Restaurants status: Dine-in allowed with restrictions
Mercer County  NJ,New Jersey,Yes,201,-0.13,0,0.06,Restaurants status: Dine-in allowed with restrictions
Luzerne County  PA,Pennsylvania,Yes,233,0.05,0,0.102,Restaurants status: Dine-in allowed without restrictions
Prince William County  VA,Virginia,Yes,156,-0.05,5,0.09,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Snohomish County  WA,Washington,Yes,86,0.04,-1,0.042,Restaurants status: Dine-in allowed with restrictions
Travis County  TX,Texas,No,55,-0.02,-0.69,0.044,Restaurants status: Dine-in allowed without restrictions
Onondaga County  NY,New York,Yes,149,0.31,-0.25,0.037,Restaurants status: Dine-in allowed with restrictions
Hamilton County  OH,Ohio,Yes,84,-0.09,-1,0.046,Restaurants status: Dine-in allowed with restrictions
Shelby County  TN,Tennessee,No,73,-0.14,0.17,0.032,Restaurants status: Dine-in allowed with restrictions
Guilford County  NC,North Carolina,Yes,127,-0.18,-0.69,0.063,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county).
St. Joseph County  IN,Indiana,No,251,0.06,-0.29,0.058,Restaurants status: Dine-in allowed with restrictions
Spartanburg County  SC,South Carolina,No,211,-0.18,-0.67,0.058,Restaurants status: Indoor dining allowed with restrictions
Collier County  FL,Florida,No,175,0.06,0.33,0.086,Restaurants status: Dine-in allowed with restrictions
Sussex County  NJ,New Jersey,Yes,478,-0.17,0.5,0.134,Restaurants status: Dine-in allowed with restrictions
Pima County  AZ,Arizona,No,64,0.01,0.25,0.037,Restaurants status: Dine-in allowed with restrictions
Eaton County  MI,Michigan,Yes,599,0.08,0.5,0.21,Restaurants status: Dine-in allowed with restrictions
Ada County  ID,Idaho,No,136,0.12,1,0.049,Restaurants status: Dine-in allowed with restrictions
Alameda County  CA,California,Yes,39,0.08,-0.52,0.015,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Stanislaus County  CA,California,Yes,118,0.29,-0.15,0.047,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Lapeer County  MI,Michigan,Yes,735,0.08,0,0.15,Restaurants status: Dine-in allowed with restrictions
Collin County  TX,Texas,No,61,-0.29,-0.55,0.045,Restaurants status: Dine-in allowed without restrictions
San Joaquin County  CA,California,Yes,83,-0.08,-0.58,0.034,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Niagara County  NY,New York,Yes,300,0.38,-0.33,0.071,Restaurants status: Dine-in allowed with restrictions
Fresno County  CA,California,Yes,63,-0.22,-0.58,0.035,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Weld County  CO,Colorado,Yes,190,0.2,-0.8,0.078,Restaurants status: Dine-in allowed with restrictions
Boulder County  CO,Colorado,Yes,185,0.17,-1,0.058,Restaurants status: Dine-in allowed with restrictions
Monroe County  PA,Pennsylvania,Yes,355,0.1,-1,0.165,Restaurants status: Dine-in allowed without restrictions
Jefferson County  KY,Kentucky,Yes,77,0.26,-0.08,0.037,Restaurants status: Dine-in allowed without restrictions
Harford County  MD,Maryland,Yes,232,0,4,0.097,Restaurants status: Dine-in allowed with restrictions
Washington County  MN,Minnesota,Yes,221,0.36,-1,0.074,Restaurants status: Dine-in allowed with restrictions
Montgomery County  TX,Texas,No,95,-0.25,-0.17,0.089,Restaurants status: Dine-in allowed without restrictions
Winnebago County  IL,Illinois,Yes,205,0.42,0,0.087,Restaurants status: Dine-in allowed with restrictions
Dane County  WI,Wisconsin,No,105,0.84,0,0.013,Restaurants status: Dine-in allowed with restrictions
Multnomah County  OR,Oregon,Yes,69,0.25,4,0.037,Restaurants status: Dine-in allowed with restrictions
Polk County  IA,Iowa,No,114,-0.21,3.67,0.077,Restaurants status: Dine-in allowed with restrictions
Sarpy County  NE,Nebraska,No,294,0.47,-1,0.117,Restaurants status: Dine-in allowed without restrictions
Virginia Beach city  VA,Virginia,Yes,122,-0.04,-0.33,0.085,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Waukesha County  WI,Wisconsin,No,135,0.07,-0.33,0.077,Restaurants status: Dine-in allowed with restrictions
Lake County  FL,Florida,No,148,0.14,-0.67,0.052,Restaurants status: Dine-in allowed with restrictions
Pinal County  AZ,Arizona,No,117,0.2,-0.12,0.036,Restaurants status: Dine-in allowed with restrictions
Spokane County  WA,Washington,Yes,104,-0.01,-0.62,0.025,Restaurants status: Dine-in allowed with restrictions
Jackson County  MO,Missouri,No,77,0.1,-0.78,0.04,Restaurants status: Indoor dining allowed with restrictions
Calhoun County  MI,Michigan,Yes,401,0.08,4,0.146,Restaurants status: Dine-in allowed with restrictions
Bay County  MI,Michigan,Yes,521,0.52,-0.71,0.171,Restaurants status: Dine-in allowed with restrictions
Tazewell County  IL,Illinois,Yes,404,0.27,0,0.1,Restaurants status: Dine-in allowed with restrictions
Contra Costa County  CA,California,Yes,46,-0.06,-0.57,0.018,"Restaurants status: Restrictions vary by county, with some allowing restricted dine-in and others outdoor only"
Dauphin County  PA,Pennsylvania,Yes,190,0.1,-0.29,0.099,Restaurants status: Dine-in allowed without restrictions
Charleston County  SC,South Carolina,No,127,-0.02,-0.29,0.051,Restaurants status: Indoor dining allowed with restrictions
Denton County  TX,Texas,No,59,-0.11,-0.4,0.047,Restaurants status: Dine-in allowed without restrictions
Lackawanna County  PA,Pennsylvania,Yes,247,0.02,2,0.103,Restaurants status: Dine-in allowed without restrictions
Lake County  IN,Indiana,No,105,0.14,-0.17,0.072,Restaurants status: Dine-in allowed with restrictions
Wright County  MN,Minnesota,Yes,366,0.23,-0.67,0.114,Restaurants status: Dine-in allowed with restrictions
Loudoun County  VA,Virginia,Yes,122,-0.15,-0.2,0.072,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Montgomery County  OH,Ohio,Yes,94,0.05,-1,0.06,Restaurants status: Dine-in allowed with restrictions
Utah County  UT,Utah,Yes,79,0,0,0.036,"Restaurants status: Dine-in allowed without restrictions, but note that some cities may enact their own restrictions."
Anchorage Municipality  AK,Alaska,No,173,-0.03,-1,0.03,Restaurants status: Dine-in allowed without restrictions
Henrico County  VA,Virginia,Yes,149,-0.01,1.2,0.056,Restaurants status: Dine-in allowed with restrictions (restrictions vary by county)
Scott County  MN,Minnesota,Yes,330,0.02,0.5,0.083,Restaurants status: Dine-in allowed with restrictions
Allen County  IN,Indiana,No,129,-0.06,-0.25,0.089,Restaurants status: Dine-in allowed with restrictions
